regine_area;main_no;point_no;param_key;version_no_end;station_name
2;11;0;1001;0;Narsjø
2;28;0;1001;0;Aulestad
2;32;0;1001;0;Atnasjø
2;142;0;1001;1;Knappom
2;145;0;1001;1;Losna
2;265;0;1001;1;Unsetåa
2;268;0;1001;0;Akslen
2;279;0;1001;1;Kråkfoss
2;291;0;1001;1;Tora
2;323;0;1001;1;Fura
2;439;0;1001;1;Kvarstadseter
2;463;0;1001;1;Vismunda
2;479;0;1001;1;Li bru
2;604;0;1001;0;Elverum
2;614;0;1001;0;Rosten
2;633;0;1001;0;Stortorp
2;634;0;1001;1;Lena
3;22;0;1001;1;Høgfoss
6;10;0;1001;1;Gryta
6;71;0;1001;1;Sinnerdammen
8;2;0;1001;1;Bjørnegårdssvingen
8;6;0;1001;1;Sæternbekken
12;70;0;1001;1;Etna
12;97;0;1001;1;Bergheim
12;114;0;1001;1;Garhammerfoss
12;150;0;1001;1;Buvatn
12;171;0;1001;1;Hølervatn
12;178;0;1001;1;Eggedal
12;192;0;1001;1;Sundbyfoss
12;193;0;1001;1;Fiskum
12;209;0;1001;1;Urula
12;215;0;1001;1;Storeskar
12;286;0;1001;0;Jaren ndf.
12;290;0;1001;0;Bagn
15;15;0;1001;0;Kongsberg
15;21;0;1001;0;Jondalselv
15;49;0;1001;1;Halledalsvatn
15;53;0;1001;0;Borgåi
15;53;0;1001;0;Borgåi
15;79;0;1001;0;Orsjoren
15;79;0;1001;0;Orsjoren
15;174;0;1001;1;Istreelva
16;66;0;1001;1;Grosettjern
16;75;0;1001;1;Tannsvatn (Lognvikvatnet)
16;122;0;1001;1;Grovåi
16;132;0;1001;1;Gjuvå
16;140;0;1001;1;Kvenna
16;193;0;1001;0;Hørte
18;10;0;1001;1;Gjerstad
19;107;0;1001;1;Lilleelv
20;2;0;1001;1;Austenå
21;47;0;1001;1;Lislefjødd
22;4;0;1001;1;Kjølemo
22;16;0;1001;0;Myglevatn ndf.
